timestamp,tweet_volume
2017-06-15,45335
2017-06-16,41470
2017-06-17,35393
2017-06-18,33617
2017-06-19,38427
2017-06-20,41414
2017-06-21,40215
2017-06-22,37617
2017-06-23,42760
2017-06-24,null
2017-06-25,null
2017-06-26,null
2017-06-27,null
2017-06-28,null
2017-06-29,null
2017-06-30,null
2017-07-01,null
2017-07-02,null
2017-07-03,null
2017-07-04,null
2017-07-05,null
2017-07-06,null
2017-07-07,null
2017-07-08,null
2017-07-09,null
2017-07-10,null
2017-07-11,null
2017-07-12,41059
2017-07-13,37788
2017-07-14,36999
2017-07-15,35882
2017-07-16,35044
2017-07-17,42841
2017-07-18,38869
2017-07-19,40774
2017-07-20,42878
2017-07-21,41888
2017-07-22,36424
2017-07-23,36108
2017-07-24,44080
2017-07-25,44885
2017-07-26,47880
2017-07-27,49367
2017-07-28,46138
2017-07-29,35823
2017-07-30,37073
2017-07-31,45510
2017-08-01,52376
2017-08-02,50050
2017-08-03,47758
2017-08-04,47503
2017-08-05,48992
2017-08-06,36187
2017-08-07,46630
2017-08-08,53994
2017-08-09,48611
2017-08-10,45181
2017-08-11,49242
2017-08-12,44387
2017-08-13,47827
2017-08-14,57531
2017-08-15,65447
2017-08-16,53779
2017-08-17,71870
2017-08-18,61067
2017-08-19,51709
2017-08-20,58268
2017-08-21,53402
2017-08-22,59244
2017-08-23,59293
2017-08-24,63067
2017-08-25,58723
2017-08-26,50258
2017-08-27,47358
2017-08-28,53173
2017-08-29,60452
2017-08-30,57072
2017-08-31,58244
2017-09-01,67953
2017-09-02,53177
2017-09-03,49077
2017-09-04,77422
2017-09-05,61290
2017-09-06,57051
2017-09-07,51603
2017-09-08,57797
2017-09-09,54796
2017-09-10,52629
2017-09-11,61659
2017-09-12,64321
2017-09-13,73211
2017-09-14,81128
2017-09-15,78373
2017-09-16,64396
2017-09-17,52831
2017-09-18,73426
2017-09-19,71751
2017-09-20,59979
2017-09-21,61443
2017-09-22,63652
2017-09-23,56876
2017-09-24,55081
2017-09-25,72699
2017-09-26,61973
2017-09-27,65959
2017-09-28,70657
2017-09-29,76874
2017-09-30,56280
2017-10-01,58917
2017-10-02,66945
2017-10-03,70772
2017-10-04,76296
2017-10-05,61290
2017-10-06,68406
2017-10-07,76111
2017-10-08,63113
2017-10-09,73002
2017-10-10,79373
2017-10-11,68320
2017-10-12,106779
2017-10-13,99372
2017-10-14,83670
2017-10-15,93320
2017-10-16,77238
2017-10-17,80151
2017-10-18,71392
2017-10-19,85571
2017-10-20,94627
2017-10-21,66998
2017-10-22,74513
2017-10-23,86442
2017-10-24,74472
2017-10-25,72426
2017-10-26,67679
2017-10-27,69197
2017-10-28,59449
2017-10-29,64396
2017-10-30,73018
2017-10-31,86043
2017-11-01,89885
2017-11-02,92923
2017-11-03,77953
2017-11-04,73373
2017-11-05,67196
2017-11-06,72577
2017-11-07,64461
